00:35:11.418100 b8:27:eb:03:93:66 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 379: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from b8:27:eb:03:93:66, length 337
00:35:54.528556 8c:85:90:80:2a:f8 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 8c:85:90:80:2a:f8, length 300
00:36:11.424883 b8:27:eb:03:93:66 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 379: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from b8:27:eb:03:93:66, length 337
00:52:08.369747 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
00:52:50.764143 70:ec:e4:94:3d:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 70:ec:e4:94:3d:f0, length 300
00:52:52.095378 70:ec:e4:94:3d:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 70:ec:e4:94:3d:f0, length 300
00:52:54.655371 70:ec:e4:94:3d:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 70:ec:e4:94:3d:f0, length 300
00:53:29.267274 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
00:56:30.928668 8c:85:90:80:2a:f8 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 8c:85:90:80:2a:f8, length 300
00:57:17.315315 a4:02:b9:46:d8:22 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from a4:02:b9:46:d8:22, length 300
01:03:18.790021 e4:f8:ef:d2:92:98 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 350: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e4:f8:ef:d2:92:98, length 308
01:03:18.790692 e4:f8:ef:d2:92:98 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 362: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e4:f8:ef:d2:92:98, length 320
01:05:19.111359 5c:f7:e6:9f:9d:fa > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 5c:f7:e6:9f:9d:fa, length 300
01:05:19.112113 5c:f7:e6:9f:9d:fa > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 5c:f7:e6:9f:9d:fa, length 300
01:05:19.113278 34:97:f6:ad:0c:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.1.67 > 255.255.255.255.68: BOOTP/DHCP, Reply, length 300
01:07:28.854515 e4:70:b8:e5:df:8a > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e4:70:b8:e5:df:8a, length 321
